회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
포인트임플란트㈜,포인트임플란트 S/W개발 인재채용,신입·경력2년↑,경기 광명시,"의료기기, 시스템설계",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43345862?Oem_Code=C1&logpath=1&stext=&listno=67
㈜링크제니시스,차량용 SW Test 자동화 개발(Python) 및 검증,신입·경력,인천 서구,"솔루션, 테스터, SI개발, 검증, 소프트웨어개발",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43344907?Oem_Code=C1&logpath=1&stext=&listno=68
㈜이테크시스템,방화벽 운영 엔지니어 모집 [삼성전자 기흥사업장 상주],신입,경기 용인시,"방화벽, 보안관제, 네트워크관리, 정보보안",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43344860?Oem_Code=C1&logpath=1&stext=&listno=69
㈜시스게이트,[서울 영등포] 의료기관 전산센터 시스템 운영자 모집(신규),신입,서울 영등포구,"SM, 시스템운영, 네트워크관리, 서버관리",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43344842?Oem_Code=C1&logpath=1&stext=&listno=70
㈜다산컨설턴트,전산팀 신입 및 경력사원 모집,신입·경력1년↑,서울 송파구,"비품관리, 자산관리, 네트워크관리, 서버구축, 시스템운영, 서버관리, 기술지원, 설치, 유지보수, A·S수리",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43344556?Oem_Code=C1&logpath=1&stext=&listno=71
㈜에이텍모빌리티,"[서울역] S/W 개발자, 앱 개발자 채용",신입·경력3년↑,서울 중구,"전자회로, 전자, 전기회로, 전기기술",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43343535?Oem_Code=C1&logpath=1&stext=&listno=72
현대디지텍코어㈜,인천 OA장비 유지보수 직원 채용,신입·경력1년↑,경기 부천시 외,"시스템운영, 하드웨어, 컴퓨터, 유지보수",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43343463?Oem_Code=C1&logpath=1&stext=&listno=73
㈜시스게이트,[경기 평택] 데이터센터 시스템 운영 담당자 모집,신입,경기 평택시,"SM, 시스템운영, 네트워크관리, 서버관리",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43342790?Oem_Code=C1&logpath=1&stext=&listno=74
에쓰핀테크놀로지,부문별 신입 채용 (IT Solution 영업지원-Microsoft),신입,서울 강남구,"인증 갱신 관리, 시장조사, 제안·컨설팅, 인증관리, 전략기획, 시장분석",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43342416?Oem_Code=C1&logpath=1&stext=&listno=75
에쓰핀테크놀로지,부문별 신입/경력 채용,신입·경력,서울 강남구,"인증 갱신 관리, 시장조사, 제안·컨설팅, 인증관리, 전략기획, 시장분석",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43342301?Oem_Code=C1&logpath=1&stext=&listno=76
